domain,expiredate
*.dynatrace.com,
conversationapp.svc.talkdesk.com,
td-infra-prd-us-east-1-s3-atlaselectron.s3.amazonaws.com,
td-infra-prd-us-east-1-s3-devprojectsapi.s3.amazonaws.com,
cdn.lr-in.com,
r.lr-in.com,
presence-emqx.talkdeskapp.com,
routing-engine-functions-rx.talkdeskapp.com,
appconnect.talkdesk.com,
networktest.talkdesk.com,
prd-cdn-talkdesk.talkdesk.com,
status.talkdesk.com,
support.talkdesk.com,
www.talkdesk.com,
styx.talkdeskapp.com,
talkdeskchatsdk.talkdeskapp.com,
api.talkdeskapp.com,
content.productdatausage.external.talkdeskapp.com,
data.productdatausage.external.talkdeskapp.com,
explore.svc.talkdeskapp.com,
webrtc.cpaas.talkdeskapp.com,
app.pendo.io,
fonts.gstatic.com,
ssl.gstatic.com,
telemetry.split.io,
bam.nr-data.net,
*.testrtc.com,
auth.split.io,
diagrpt.split.io,
events.split.io,
streaming.split.io,
bam-cell.nr-data.net,
*.talkdeskapp.com,
*.lr-in.com,
*.gstatic.com,
*.lr-ingest.io,
cdn.lr-ingest.io,
js-agent.newrelic.com,
sdk.split.io,
*.logrocket.com,
logrocket.com,
*.logrocket.io,
cdn.logrocket.io,
streamrec.eyeson.com,
nuts.eyeson.com,
*.talkdesk.com,
js.pusher.com,
ws-ap1.pusher.com,
ws-ap2.pusher.com,
ws-ap3.pusher.com,
ws-ap4.pusher.com,
ws-eu.pusher.com,
ws-mt1.pusher.com,
ws-us2.pusher.com,
ws-us3.pusher.com,
ws.pusherapp.com,
sockjs.pusher.com,
portunus.infobip.com,
2vdwrp.api.infobip.com,
api.infobip.com,
talkdesk-prod.live.dynatrace.com,
www.mytalkdesk.com,
*.mytalkdesk.com,
www.talkdeskid.com,
account.talkdeskid.com,
api.talkdeskid.com,
*.talkdeskid.com,
td-infra-prd-us-east-1-s3-campaignmanagerapi.s3.us-east-1.amazonaws.com,
td-prd-assets-api.s3.amazonaws.com,
talkdeskapp.s3.amazonaws.com,
td-prd-recordings.s3.amazonaws.com,
